"","SimpSubs","IPTW","TMLE"
"1",-0.00924191586495747,-0.0161089763809094,-0.0132976868041055
"2",-0.0230923550186689,-0.0288964004200567,-0.0272241430853957
"3",-0.0168950517277768,-0.0226564347989212,-0.0212037961378498
"4",-0.0183326220404962,-0.0232561277723692,-0.0221765587057544
"5",-0.0286393560745994,-0.0369185813234134,-0.0353023892123964
"6",-0.0288268687951794,-0.0345541498965912,-0.0331729708276841
"7",-0.0428611120397147,-0.0500232556421132,-0.0491292216580479
"8",-0.032623790703563,-0.0388579492978787,-0.0375441611172785
"9",-0.0289546744195152,-0.0351827830306721,-0.0339751489222891
"10",-0.00916324817465035,-0.0115212909103902,-0.00938649470142294
"11",-0.029641208598787,-0.0348869044903659,-0.0336161393201142
"12",-0.0271532557558473,-0.0339006651077763,-0.032406312344326
"13",-0.0208170988013121,-0.0259791225835562,-0.0236781019761435
"14",-0.024298086900125,-0.030103025711972,-0.028789827804546
"15",-0.0433631710217834,-0.0487215869664222,-0.047807698271891
"16",-0.0259005415649531,-0.0325798152226422,-0.0319083809880337
"17",-0.0140598597381322,-0.0178039705812951,-0.0169036609028353
"18",-0.0194812916271009,-0.0257580245010545,-0.0238889098342487
"19",-0.0102034647014618,-0.0140285847560789,-0.0122854576770137
"20",-0.0223802347124673,-0.0239766443492026,-0.022140602200335
"21",-0.0264771597892225,-0.0330901022317951,-0.0316936519939995
"22",-0.0140608489792265,-0.0194769977446839,-0.0174265087404659
"23",-0.0179207768971424,-0.021947988496821,-0.019690395505504
"24",-0.0277903507475787,-0.0336171908710358,-0.0330529729507889
"25",-0.0287579678114913,-0.033128201988959,-0.0315643180683586
"26",-0.0374574160020354,-0.0425102106695098,-0.0409382835939279
"27",-0.0372685520640387,-0.0452402081268086,-0.0438355296564737
"28",-0.0211144523577051,-0.0276613047826956,-0.0260625097823013
"29",-0.0234220341118541,-0.0314631336557135,-0.0306233736637698
"30",-0.0248126902902812,-0.0308076025288916,-0.0294601953285279
"31",-0.0189180078426878,-0.0232905439296079,-0.0218573875535772
"32",-0.0432662462360102,-0.0480112108643764,-0.0467644605737203
"33",-0.0299576234840136,-0.0369872050720916,-0.0356490067919034
"34",-0.0152681400822602,-0.0213216474352049,-0.0205628359834145
"35",-0.0394464703378886,-0.0477562722103491,-0.0469533490363495
"36",-0.0252640979021243,-0.028737229071545,-0.0267725677014981
"37",-0.0296327037003644,-0.0356093820166435,-0.0340158321287105
"38",-0.0348549082781336,-0.0412628409643337,-0.0400196858814461
"39",-0.021705094810211,-0.0266554024362922,-0.0253417802173079
"40",-0.0142221782132993,-0.0182731766302779,-0.0159539139338406
"41",-0.00673682879099139,-0.00966307338612774,-0.008605014583559
"42",-0.0265317216967928,-0.0262702164670425,-0.026063764921178
"43",-0.0129743578140931,-0.0182887990928056,-0.0166525245147573
"44",-0.0207330857128589,-0.025278627498107,-0.0245108242248392
"45",-0.0192020921583223,-0.0229987873981176,-0.0212308391897976
"46",-0.020893292453145,-0.0272442589833502,-0.0261304566363292
"47",-0.0210728772893293,-0.0271937711892088,-0.0255598750954273
"48",-0.0131128574986372,-0.0172127202789475,-0.0146494688357818
"49",-0.0181121137757227,-0.0217738251906105,-0.0199411072629327
"50",-0.022984032078048,-0.0280835749886086,-0.0268642180867512
"51",-0.0203756242364716,-0.0267610429637006,-0.0261468153410367
"52",-0.0373143894247349,-0.0420222506289729,-0.0405487628514579
"53",-0.0114411372294168,-0.0138117567536903,-0.0119439361190762
"54",-0.0261322909740781,-0.035172180448743,-0.032988099903519
"55",-0.0124262112907373,-0.017446750799602,-0.0146278268684766
"56",-0.0284086210392371,-0.0346584507587674,-0.0335746359261585
"57",-0.0272335606846914,-0.034384381942018,-0.0333351331056658
"58",-0.0202567333146314,-0.02773980310473,-0.0251643726024229
"59",-0.0202435717080966,-0.0251041453000742,-0.0230189794021866
"60",-0.0214216355194397,-0.027950673123594,-0.0262904878000779
"61",-0.0243619728032252,-0.0307148171775048,-0.0297174070615701
"62",-0.0231751996219224,-0.0282377318940923,-0.0266593374845854
"63",-0.0171920287459966,-0.0205680679770777,-0.0183537241722276
"64",-0.0209426125363188,-0.0221629293399565,-0.0205484282365512
"65",-0.00953596122409653,-0.0108944313377651,-0.00925931267845981
"66",-0.0168951173287385,-0.0161127521230567,-0.0147787989516803
"67",-0.0294857366137978,-0.0333465785826114,-0.0319244517302852
"68",-0.0365734882949187,-0.0439296435851137,-0.043255980621448
"69",-0.0224369050198325,-0.0295776966169723,-0.0286782010333869
"70",-0.0256071441573357,-0.0308034064056256,-0.0281174542698485
"71",-0.0217673313572668,-0.0266090443116415,-0.0249104425341021
"72",-0.0292163412746525,-0.0365161261519654,-0.034506760046875
"73",-0.0318419297760344,-0.0396467461854968,-0.0390756990745172
"74",-0.0147076230669171,-0.0174197101895827,-0.0148736293849944
"75",-0.0235717317396198,-0.0295375018421823,-0.028286854282761
"76",-0.0219124381978375,-0.0235473281726561,-0.0204029090623099
"77",-0.0272425195998506,-0.0329106829279629,-0.0311721590995783
"78",-0.036570190609568,-0.0420241636770038,-0.0407770332817531
"79",-0.0121010263344758,-0.0156167871859789,-0.0148843822078875
"80",-0.0226095587167473,-0.0300051958294914,-0.0288416660021501
"81",-0.0246171302173735,-0.0309849084914952,-0.0299465860431752
"82",-0.0246939824655594,-0.0315618579950801,-0.0300000117847944
"83",-0.0156046486919023,-0.0162438801487568,-0.0154110761743219
"84",-0.0306725388404397,-0.0351240149992335,-0.0341037162303688
"85",-0.0378200262367928,-0.0445767301291495,-0.0436225430861625
"86",-0.0282849032451095,-0.0341366553825517,-0.0327822009803542
"87",-0.0268811378860042,-0.029494926357854,-0.0283967846766583
"88",-0.0265416735223479,-0.0354429998795203,-0.0332574014256303
"89",-0.00566820232361655,-0.00811654788490909,-0.00695506953438274
"90",-0.0265286170255968,-0.0309442966869444,-0.0297897305585186
"91",-0.0194581606692325,-0.0259855465575011,-0.0245995718044206
"92",-0.0173630324796964,-0.0210306298415009,-0.0193512529614301
"93",-0.00249902119953622,-0.00374723589199783,-0.00131729745394826
"94",-0.0144256894619609,-0.0191628314111422,-0.0170294617576235
"95",-0.0253270622586519,-0.030402359265916,-0.0290748458850536
"96",-0.0151381060500136,-0.0181112761956277,-0.0154612300967581
"97",-0.0187518881056917,-0.0243553080198387,-0.0222502124773397
"98",-0.0186583768713558,-0.0226436804393036,-0.0217797423650132
"99",-0.0383280685227557,-0.0431485182939363,-0.04186375140975
"100",-0.0305738829115344,-0.0333546832966472,-0.031971823304434
"101",-0.016135106432007,-0.0192933720738123,-0.0165600725576768
"102",-0.0107825800155676,-0.0127278248896787,-0.0119437473979637
"103",-0.0218266513366056,-0.0298177906124132,-0.0283309887714847
"104",-0.0183677543401155,-0.0272952730827774,-0.0248800436066465
"105",-0.0279442769213693,-0.0326860285253418,-0.0311574144622354
"106",-0.0288517894871467,-0.0328198026610215,-0.0315941697223057
"107",-0.0187943595486984,-0.0228110618143191,-0.0214531291755169
"108",-0.033419876787187,-0.039763161296555,-0.038340585780557
"109",-0.0392065963389474,-0.0468918330982365,-0.0458800324937643
"110",-0.0378766812289201,-0.0436042466859592,-0.0426598722735173
"111",-0.0254616471898422,-0.0329866906974685,-0.0309659335709103
"112",-0.0187491355116797,-0.0245908691048882,-0.02179996453922
"113",-0.0171552810092477,-0.0185966141736698,-0.0175771268613329
"114",-0.0179306710273093,-0.0234987712835032,-0.0213283318481119
"115",-0.0132712487564294,-0.015520455057933,-0.0138535061690526
"116",-0.0108781067054423,-0.0134166558709828,-0.0114600557903961
"117",-0.0207412137974652,-0.0230529335235373,-0.0222108516211387
"118",-0.0249330257624433,-0.0294879788768356,-0.0271150750803782
"119",-0.0149752825092672,-0.0204945950672903,-0.0184289624214432
"120",-0.0276566926169811,-0.0359576442354998,-0.0347460591565599
"121",-0.00873832515768314,-0.0114318182622013,-0.0100366486953605
"122",-0.0193819055738641,-0.0217396235580405,-0.0210898378528321
"123",-0.0162088153996998,-0.0190808517439703,-0.0167857758999803
"124",-0.0229520827060065,-0.0316926397473285,-0.030294829356089
"125",-0.0278491998755568,-0.0338330382489459,-0.0323735681689109
"126",-0.0131227336672466,-0.0153583720664882,-0.0141067534096898
"127",-0.0190612500318273,-0.0238899860750309,-0.0213093472349035
"128",-0.0233122414098192,-0.0305680100554698,-0.0298669754526512
"129",-0.0337295153820438,-0.038575454054243,-0.0373988131991906
"130",-0.0241809386219918,-0.0304145108193749,-0.0295980208861304
"131",-0.019259065204799,-0.0233148824318306,-0.0214315652437582
"132",-0.0287194739857896,-0.0360225231095856,-0.0353869344278797
"133",-0.0248594421639308,-0.0312652763608211,-0.0303495958355874
"134",-0.0208264761023512,-0.0269550631756423,-0.0258957284201634
"135",-0.0298002284139989,-0.0366302269906073,-0.0346498941379403
"136",-0.019348431460252,-0.0240084796254284,-0.0229645830902155
"137",-0.0213080573063932,-0.0247834029130856,-0.0228810234467507
"138",-0.0256689736197735,-0.0310340029774106,-0.0298479789453507
"139",-0.0180782643840474,-0.0225224808046856,-0.0212217722091469
"140",-0.00735221022446166,-0.0103318809664705,-0.00858182788742867
"141",-0.0156265764359823,-0.0201962839821771,-0.0186679990009173
"142",-0.0249285281946715,-0.0317113170089311,-0.0299191451926113
"143",-0.0303836318110907,-0.0345518717064775,-0.0334681105957242
"144",-0.0213241055157757,-0.0273903092668771,-0.0257474791648237
"145",-0.0230923265913104,-0.0273008402191462,-0.0261267600258334
"146",-0.0360240277062008,-0.0412384179655632,-0.0420003492355178
"147",-0.025137043215856,-0.0325345427032042,-0.0312887392746407
"148",-0.0210271397824423,-0.026332597328654,-0.025236538388271
"149",-0.0232725094534214,-0.029110172382534,-0.027943463327665
"150",-0.0265562753281093,-0.0316190448789582,-0.0305029722657988
"151",-0.0241906239876603,-0.0281786581275485,-0.02689875242327
"152",-0.0185642590478324,-0.0240589892137082,-0.0227602539187777
"153",-0.000369984826951692,-0.00136994469031634,-0.000701419259140579
"154",-0.0201852125699677,-0.0263442662294198,-0.0242337127280905
"155",-0.0403012068845333,-0.0473469344207574,-0.0462398895384432
"156",-0.0148876818144218,-0.0183345779479184,-0.0165311578316363
"157",-0.0315575438513316,-0.0363266320828924,-0.0350889522556224
"158",-0.0130650264505177,-0.017999875884384,-0.0158515374441482
"159",-0.0126588921505117,-0.0152218525631213,-0.0135289719886682
"160",-0.0173650274814464,-0.0219198425558678,-0.0207994716446511
"161",-0.0305493139827818,-0.036560954577671,-0.0355286085878583
"162",-0.0189339288357312,-0.0258472100434901,-0.0240558636676531
"163",-0.0236896264750757,-0.0281738693881679,-0.0268956246948872
"164",-0.0173365460234927,-0.0199717110871897,-0.0180648965819055
"165",-0.0161571145529742,-0.0204858416483523,-0.0181441564296746
"166",-0.0268254131069656,-0.0352550551302811,-0.0327364535229993
"167",-0.028156654934296,-0.0334670195386944,-0.0325447965911309
"168",-0.0238849171546049,-0.0236607355109037,-0.0224999133323976
"169",-0.0342793182744734,-0.0404238454901991,-0.0391212439361172
"170",-0.0217266510297454,-0.0257962948135693,-0.02377855863692
"171",-0.0280080047109721,-0.0335564603212479,-0.0327422111769933
"172",-0.0265706499744211,-0.032006646552342,-0.030490430089997
"173",-0.0148097363895678,-0.0220009374102815,-0.0196936924280113
"174",-0.0180543187693373,-0.0225187332422676,-0.0213818127591711
"175",-0.0119411947275204,-0.0187797774132318,-0.0175710471798161
"176",-0.0242143812592774,-0.0319171946018704,-0.0306795410044173
"177",-0.0188298332131615,-0.0234069499435962,-0.0220089543812474
"178",-0.0151970314180493,-0.0199067291382157,-0.0181636125951778
"179",-0.0322666423579754,-0.0368646151926681,-0.0350895724811646
"180",-0.0288438316513017,-0.0370173081288077,-0.0354106957648466
"181",-0.0195451081213784,-0.0241349093842072,-0.0222968557988631
