"","SimpSubs","IPTW","TMLE"
"1",0.00131853566533264,-0.0426213474935864,-0.0269349393501199
"2",0.00284912009395542,-0.04191744127397,-0.0268979789917602
"3",-0.000107933878619473,-0.0525711033243805,-0.0268555574376208
"4",0.0087201744601383,-0.0387585424327999,-0.0269136826385316
"5",-0.000172901644051208,-0.0417514022282364,-0.0268432737247067
"6",0,-0.0258762218771279,-0.0269001582545213
"7",0.00191459484459301,-0.0452008226697889,-0.0268419837339802
"8",0.00187415663428282,-0.0357161344638989,-0.0268564337304512
"9",0.00545143396243516,-0.0292979898089438,-0.0269218548864005
"10",-0.0083359951102441,-0.0413742389748492,-0.0269278928997578
"11",0.00206183304597835,-0.048550332483425,-0.0268712272437855
"12",-0.0278611677747043,-0.0387271084424519,-0.0268427008781928
"13",0,-0.0452823071626843,-0.0268930158532471
"14",-0.00250527048994522,-0.0264019753214182,-0.0269107075863834
"15",0,-0.0416694247339881,-0.0269795097412264
"16",0,-0.0376705552988812,-0.0269212741976402
"17",-0.00283597847409379,-0.0270647565667849,-0.0268592837147729
"18",0,-0.03767982962545,-0.0268419280128641
"19",0,-0.0291188909043354,-0.0269455785474431
"20",0.00688959134047366,-0.0322748237976782,-0.0268188816721788
"21",-0.00136003573409155,-0.0550951160465833,-0.0268979762689702
"22",-0.000335911218682011,-0.033243664009594,-0.02681093014443
"23",0,-0.0500584455423165,-0.0269534560908802
"24",0.0010003958833712,-0.0547172708365322,-0.0269353695887257
"25",0,-0.0401516749551986,-0.0267801778995325
"26",-0.00198855412882423,-0.0329998629779659,-0.0268829062082594
"27",0,-0.0277013888810407,-0.0268827737463554
"28",-0.00213760329233661,-0.047451244537803,-0.0269017560582703
"29",3.07398553799077e-05,-0.0343480224499124,-0.02680818446875
"30",0,-0.0355918721602961,-0.0269736393620871
"31",-0.000449934306099391,-0.0262485757378172,-0.0268824072177575
"32",1.27219605047352e-05,-0.0324970863311473,-0.0268484086202107
"33",0,-0.031936560155253,-0.0269277997566149
"34",0,-0.0440828405677408,-0.026924706178573
"35",0,-0.0476687838518382,-0.0269338877275203
"36",0.00647112676617678,-0.0382918402273241,-0.0269079457888741
"37",0,-0.0392823297267557,-0.0269362813607729
"38",0,-0.0415658710959574,-0.0269539618499548
"39",0,-0.0398750978812006,-0.0267699717966962
"40",0,-0.0308409629610533,-0.0268935285635163
"41",-0.00216762292510663,-0.0351611253459771,-0.0269839447514144
"42",0,-0.0305253572580306,-0.0268458919881898
"43",-0.00782150935908073,-0.0378357717966626,-0.0268413629641809
"44",0,-0.0502593618988734,-0.0268847009020535
"45",0,-0.0316560205030824,-0.026948656223312
"46",-0.00358312251179329,-0.0288151531248769,-0.0268812932878122
"47",0,-0.0433713521727627,-0.0269296507007456
"48",0,-0.0454402789886661,-0.0269271277290766
"49",0,-0.0460978497990265,-0.026946468005443
"50",0,-0.0299069522104208,-0.0270087810333952
"51",-0.004322507440742,-0.0375607115897667,-0.0268909831755958
"52",-0.00169304485368023,-0.0506775175432385,-0.0269842005880458
"53",0,-0.0250834235882541,-0.0269062699682925
"54",0,-0.0429016718981855,-0.0269179224834527
"55",0,-0.0393183332065774,-0.0268845910320643
"56",0,-0.0444431488391376,-0.0268920356471956
"57",0.00110028838053016,-0.0392153048557299,-0.0269220544420257
"58",0,-0.0365964688454486,-0.0268390843290808
"59",0,-0.0414192426773381,-0.0269959731199239
"60",0.000421731576233401,-0.035068716560555,-0.0268909174767341
"61",0,-0.0279877281558938,-0.0269215788450475
"62",0.00022721564905727,-0.0319917243086663,-0.0269243449170155
"63",0,-0.0350100660167189,-0.0269286571435754
"64",0,-0.0529690759320327,-0.0269020696986509
"65",0,-0.0408901778678248,-0.0269859375628471
"66",0,-0.0376589773247674,-0.026866988874106
"67",-0.000200973179322798,-0.0531416555493027,-0.0268663461614305
"68",-0.000527457847039371,-0.0313260438310925,-0.0268914652565145
"69",0,-0.0400317633502941,-0.0269007657030135
"70",0.00500728972671208,-0.0400053497108731,-0.0268286688185034
"71",0.00048753597027918,-0.0535252330308381,-0.026839603153391
"72",0.000167127095235157,-0.0343547463708231,-0.0268611037959763
"73",-0.00157007633841487,-0.043547119993383,-0.0268644073160296
"74",0,-0.0616149824899761,-0.0268575574539514
"75",0.00376757064320578,-0.0392591688626682,-0.0268634690783958
"76",-0.00266408913888084,-0.0348261005954855,-0.02695774036035
"77",-0.000534593737534174,-0.0290209054977983,-0.0267996546164704
"78",0.00563999973485506,-0.0548486302339714,-0.0268645138414076
"79",-0.00543601379729727,-0.0387361889310941,-0.0268853137180642
"80",-0.00101677140101721,-0.0203425387750116,-0.0268566202839198
"81",0,-0.0345219153371088,-0.0269283053015236
"82",0,-0.0609177235221695,-0.0269111166099708
"83",0,-0.0370271743307512,-0.0268887429103513
"84",0.0027605822986213,-0.0523158508360644,-0.0269097389306089
"85",0.00104645786972343,-0.0515944229032394,-0.0268695898787846
"86",-0.0047570367907427,-0.0409662266750012,-0.0268872158216934
"87",-0.000452044158029422,-0.0301046023296525,-0.0269748321722629
"88",0,-0.0345756507918669,-0.0269234314709188
"89",0,-0.0377537801752975,-0.0268783877958245
"90",0,-0.0595761446034404,-0.0268128482770437
"91",0,-0.0334089328767035,-0.0267629732153942
"92",0.00017937652991227,-0.0448711066402931,-0.0268515128075807
"93",0,-0.0481666410610948,-0.0268888186003605
"94",-9.09521368166621e-05,-0.0349389446835645,-0.0268865844210704
"95",0,-0.0346216744400308,-0.026992653800424
"96",0,-0.0398849041364764,-0.0268627189510344
